poi_id,poi_name,road_id,road_name,rank
1,如果IfCoffee,490,龙井路,2
2,蒸早糯米饭(申花店),453,方家北路,2
3,浙江海外国际物流有限公司,2195,市心中路,2
4,捷路图文数码印刷(石桥店),1579,沈家路,2
5,恒天财富,637,学院路,2
6,玛堡壁纸,427,丰潭路,2
7,余杭蔬果直销店,434,之江路,2
8,相约.芝士焗饭(滨江店),1850,滨兴路,2
9,浙江追梦律师事务所,448,祥园路,2
10,江南一绣半永久定妆会所(HZ店),2539,天城东路,2
11,好又多超市(杭州市萧山区激光医院东北),2430,萧绍东路,2
12,便民服务点,656,西溪路,2
13,停车场,-1,"",-1
14,2号路与4号路交叉口,1498,太平门直街 Taipingmenzhi Street,1
15,遇见(下沙商贸城),2576,3号大街,1
16,华凯保险,2069,市心北路,2
17,中国体肓彩票,2462,东湖南路,2
18,IT公园停车场,78,文二西路,2
19,嘉墅街与贾家弄交叉口,800,湖墅北路,2
20,中原地产,1753,五福路,2
21,纬二路与经三路交叉口,474,之浦路,2
22,玉霞东北手工水饺,2198,星光街,1
23,银信私人财行,797,保俶北路,2
24,幸福丽人社,2683,9号大街,1
25,洪叶云台专业设计,1952,华丰路,2
26,中国建设银行杭州萧山开发区支行停车场,2298,万向路,2
27,汇德隆家电超市义蓬店停车场,-1,"",-1
28,沈晋捷钢琴艺术,1714,新月路,2
29,紫薇苑12-7号,72,闲林西路,2
30,电脑家电维修店,2565,银沙路,2
31,交通警务室,-1,"",-1
32,豪世华邦(九乔路),2368,九堡大桥,2
33,林记黄焖鸡米饭(临平店),2461,东湖南路,2
34,烟酒副食品店,2742,红垦路,2
35,美莱居饰材专卖(杭州石桥店),1643,沪昆高速线,4
36,葛港股份欣鑫创业区停车场,92,绿汀路,2
37,自产自销无公害农产品,457,丰潭路,2
38,千黄面馆,529,湖州街,1
39,新疆红枣萧山直销,2193,萧绍东路,2
40,停车场(东狮路),65,城东路,2
41,丽人堂美妆,2289,沪杭高速,4
42,胡家贵州树林黄牛肉馆,2198,星光街,1
43,昌业刻章店,1401,朝晖路,2
44,菜鸟驿站(立新村新益佳超市),2297,育才路,2
45,梦庄国际化妆品,1989,金城路,2
46,杭州萧山城厢东门花店,2335,通惠南路,2
47,依香芳苑,2189,杭海路,2
48,中国移动(信义指定专营店),2016,文明路,2
49,安吉市联胜家居厂,1896,绕城高速,4
50,凡希工作室,2243,宁东路,2
51,旧巷里冒菜,2485,学林街,1
52,孩儿巷与白泽弄交叉口,1010,庆春路,2
53,雅淇优品(临平南大街店),2461,东湖南路,2
54,电动车维修,163,访溪路,2
55,星海路,1279,半山路,2
56,春晓早餐,1384,临丁路,2
57,贝贝超市,21,207省道,3
58,缸儿巷,1287,马市街,1
59,停车场,2247,高桥路,2
60,金都夏宫2期,2198,星光街,1
61,中心食堂停车场,284,花蒋路,2
62,政清路与政苑街交叉口,464,丰潭路,2
63,黄山专线物流,1643,沪昆高速线,4
64,龙茶坊港式茶餐厅,1821,剧院路,2
65,停车场(星源北路),1384,临丁路,2
66,永旺梦乐城良渚新城店停车场,226,古墩路,2
67,停车场,320,杭富路,2
68,琪琪果品,-1,"",-1
69,黄湖开发区(公交站),-1,"",-1
70,好尚好购物超市,65,城东路,2
71,呀蜜食品,1582,新风路,2
72,Jasonwood(武林银泰店),1173,玄坛弄,1
73,新世纪华联超市(宁税店),2007,建设四路,2
74,LOSE/SOFINA杭州大厦购物城A座,968,体育场路,2
75,椿林麻辣烫(新和嘉苑店),1873,环站南路,2
76,川香缘微餐厅,61,凤新路,2
77,理想·丝联166创意产业园停车场,764,大浒街,1
78,元和养生馆,2475,新城隧道,2
79,真美达物流,1993,留石快速路,2
80,万利大厦停车场,103,高教路,2
81,川魂帽牌货冒菜(转塘街道店),265,美院北街,1
82,杭州新天地·海彼购客服中心,1097,兴业街,1
83,长虹扎带杭州总代理,2487,七格路,2
84,urara悠莱(文一路店),551,文一路,2
85,杭州小顶金融贷款,1230,中河中路,2
86,百蜜烘培面包坊,2531,德胜东路,2
87,乐肤皮肤修复中心(临平店),2461,东湖南路,2
88,珍奥临平健康体验馆,2198,星光街,1
89,主恩糖果批发商行,2007,建设四路,2
90,东成电动工具机电五金,395,萍水路,2
91,芝麻开门超市,2189,杭海路,2
92,休斯顿投资管理(杭州)有限公司,2805,学正街,1
93,明俊激光切割剪板折弯,443,学院北路,2
94,博厉童品(东沙商业广场店),2589,1号大街,1
95,邦邦香手工面水饺,1074,滨安路,2
96,钱江小学自行车租赁点,-1,"",-1
97,银瀚装饰,1310,秋涛路,2
98,康华路,1693,同协路,2
99,孩儿巷与豆腐巷交叉口,1010,庆春路,2
100,蒙爱之家,366,古墩路,2
101,HEYBABYSTUDIO,628,外东山弄,1
102,模具刻字,1919,杭海路,2
103,捷灵开锁,469,塘萍路,2
104,红豆,297,古墩路,2
105,朝晖路20号自行车租赁点,1444,艮山西路,2
106,影人会所,1722,新塘路,2
107,温州特色黄牛馆(莲花街总店),195,天目山路,2
108,停车场(皋塘一路),1813,艮山西路,2
109,纸善凸版印社,1192,沈半路,2
110,停车场(杭州圣康医院急诊西),1919,杭海路,2
111,第一健康,1687,市民街,1
112,俞顺快餐店,-1,"",-1
113,停车场(浙江省人民医院行政楼西北),1126,新市街,1
114,骆公园永兴饭店,-1,"",-1
115,味动力麻辣香锅,2710,17号大街,1
116,缘份花艺,556,文二路,2
117,大王耶板材,-1,"",-1
